obsid,mjd_mid,tspan_s,n_ph,f0,sigma_f,h_stat,z2_1,detected
4020180457,59548.38729137,38857.9,15442,11.184147775,3.171e-06,15.6,15.2,True
4020180458,59549.65165946,180.9,7850,,,18.2,10.6,False
4020180454,59526.72370899,50838.4,85768,11.184075300,1.827e-06,28.9,8.6,True
4020180452,59524.79890821,0.0,119157,11.184077434,2.097e-06,52.2,30.6,True
4020180459,59550.05176397,22821.1,23177,,,9.8,3.0,False
4020180456,59528.32337782,0.0,74152,11.184075584,5.596e-06,38.2,23.4,True
4020180463,59555.39929141,110.0,2507,,,0.7,0.7,False
4020180464,59557.52247626,363.0,15825,,,8.4,8.4,False
4020180460,59551.59360473,0.0,63445,11.184116236,5.525e-07,29.0,27.7,True
4020180466,59573.13168021,245.0,10725,,,1.2,1.2,False
4020180465,59562.80355037,410.0,16324,,,6.3,6.3,False
4020180468,,,,,,,,False
4020180462,59553.24392388,0.0,78654,11.184037659,2.085e-06,44.8,15.1,True
4020180470,59627.75303579,6347.0,17397,,,12.3,12.3,False
4020180467,59574.23944717,17342.7,53224,-0.000000052,6.104e-08,851504.7,106447.7,True
4020180469,59622.62487963,6153.0,52755,,,2.3,1.0,False
5020180401,59677.32452452,357.0,15357,,,2.4,2.4,False
5020180404,,,,,,,,False
5020180405,,,,,,,,False
5020180406,,,,,,,,False
4020180445,59476.51448513,0.0,406466,11.184142527,4.312e-07,138.0,72.4,True
5020180402,59681.96193820,438.0,18827,,,17.1,6.0,False
5020180407,59693.27631613,33572.6,24024,,,12.8,12.8,False
5020180410,,,,,,,,False
4020180461,59552.25537302,0.0,142579,11.184020702,7.395e-07,40.5,40.5,True
5020180409,59697.44379788,727.9,31947,,,10.7,5.5,False
5020180413,,,,,,,,False
5020180412,59714.46751055,33756.4,14992,,,0.2,0.2,False
5020180408,59694.06643321,11687.4,52028,,,6.7,6.7,False
5020180416,59729.96918833,207.9,9426,,,5.2,5.1,False
5020180417,,,,,,,,False
4020180455,59527.21579895,0.0,237335,11.184074958,1.758e-06,169.9,70.2,True
5020180414,59725.56386217,72751.4,24541,,,9.6,9.6,False
