BatchStart
|obsid         |prnb |status          |pi_lname    |pi_fname|target_name  |ra        |dec      |time                 |duration|exposure|_Search_Offset                |
|91050-06-09-00|91050|archived        |SWANK       |JEAN    |H_1743-322   |17 46 16.8|-32 14 24|2005-08-28 07:08:50.8|    6017|    3618| 0.460 (17 46 15.6, -32 14 01)|
|80137-01-45-00|80137|archived        |TOMSICK     |JOHN    |XTE_J1746-319|17 46 15.6|-32 13 59|2003-11-17 06:38:24.3|    5923|    3611| 0.037 (17 46 15.6, -32 14 01)|
|90058-10-04-00|90058|archived        |SWANK       |JEAN    |XTE_J1746-319|17 46 15.6|-32 13 59|2004-07-17 07:48:24.2|    5468|    3611| 0.037 (17 46 15.6, -32 14 01)|
|80137-01-40-00|80137|archived        |TOMSICK     |JOHN    |XTE_J1746-319|17 46 15.6|-32 13 59|2003-11-15 05:49:06.8|    5700|    3604| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-51-01|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-05-29 12:21:59.3|    6128|    3602| 0.037 (17 46 15.6, -32 14 01)|
|80137-02-03-03|80137|archived        |TOMSICK     |JOHN    |XTE_J1746-319|17 46 15.6|-32 13 59|2003-11-15 15:14:31.8|    4313|    3594| 0.037 (17 46 15.6, -32 14 01)|
|93427-01-13-00|93427|archived        |TOO         |PUBLIC  |H_1743-322   |17 46 16.8|-32 14 24|2008-10-31 02:50:07.3|    5192|    3585| 0.460 (17 46 15.6, -32 14 01)|
|80146-01-17-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 28.1|-31 55 08|2003-04-27 04:20:35.8|    6886|    3583|19.061 (17 46 15.6, -32 14 01)|
|91050-06-03-00|91050|archived        |SWANK       |JEAN    |H_1743-322   |17 46 16.8|-32 14 24|2005-08-18 04:57:06.9|    5940|    3581| 0.460 (17 46 15.6, -32 14 01)|
|80146-01-70-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-06-16 14:30:57.3|    5847|    3545| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-52-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-05-30 05:40:57.8|    4615|    3540| 0.037 (17 46 15.6, -32 14 01)|
