BatchStart
|obsid         |prnb |status           |pi_lname    |pi_fname|target_name |ra        |dec      |time                 |duration|exposure|_Search_Offset      |
|91702-01-12-10|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-07-19 07:32:27.7|   13952|    7082|0.024 (GRO J1655-40)|
|91702-01-33-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-04-16 18:37:46.3|   11720|    7076|0.024 (GRO J1655-40)|
|91702-01-76-02|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-09-14 11:21:07.2|   10980|    7069|0.024 (GRO J1655-40)|
|91702-01-37-11|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-10-08 01:20:37.5|   10317|    7064|0.024 (GRO J1655-40)|
|91702-01-90-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-06-25 09:20:50.2|   11058|    7042|0.024 (GRO J1655-40)|
|91702-01-79-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-09-17 11:42:06.9|    9633|    7012|0.024 (GRO J1655-40)|
|91702-01-05-01|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-03-17 14:50:38.4|    9888|    6999|0.024 (GRO J1655-40)|
|10255-01-23-00|10255|archived         |REMILLARD   |RONALD  |GRO_J1655-40|16 54 00.0|-39 50 45|1997-01-20 23:49:51.7|   11595|    6974|0.027 (GRO J1655-40)|
|91702-01-70-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-06-01 00:26:20.3|    9702|    6969|0.024 (GRO J1655-40)|
|10255-01-16-00|10255|archived         |REMILLARD   |RONALD  |GRO_J1655-40|16 54 00.0|-39 50 45|1996-10-22 01:49:04.8|   12612|    6947|0.027 (GRO J1655-40)|
|91702-01-16-01|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|  2005-03-28 16:46:31|    9665|    6942|0.024 (GRO J1655-40)|
|91702-01-91-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-06-27 07:01:41.4|   11586|    6933|0.024 (GRO J1655-40)|
|20402-02-14-00|20402|archived         |TOO         |PUBLIC  |GRO_J1655-40|16 54 00.0|-39 50 45|1997-05-28 07:31:15.2|    9825|    6928|0.027 (GRO J1655-40)|
