BatchStart
|obsid         |prnb |status  |pi_lname    |pi_fname|target_name   |ra        |dec      |time                 |duration|exposure|_Search_Offset       |
|40401-01-01-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-01-01 21:44:36.7|    6594|    3420|2.657 (XTE J1550-564)|
|30435-01-10-00|30435|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-12-08 01:32:05.3|    5654|    3409|2.657 (XTE J1550-564)|
|40401-01-25-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-01-30 20:10:39.9|    6211|    3342|2.657 (XTE J1550-564)|
|30188-06-04-00|30188|archived|CUI         |WEI     |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-09-11 06:25:42.2|    6463|    3333|2.657 (XTE J1550-564)|
|30514-03-11-01|30514|observed|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-10-02 01:37:44.8|    6416|    3326|2.657 (XTE J1550-564)|
|30435-01-22-00|30435|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|  1998-12-25 23:33:00|    6789|    3242|2.657 (XTE J1550-564)|
|40401-01-68-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-03-29 20:55:31.3|    4263|    3210|2.657 (XTE J1550-564)|
|40401-01-43-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|  1999-02-22 10:02:09|    3780|    3178|2.657 (XTE J1550-564)|
|30435-01-23-00|30435|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-12-26 23:33:01.7|    4221|    3175|2.657 (XTE J1550-564)|
|30191-01-10-00|30191|archived|MCCLINTOCK  |JEFFREY |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-09-24 01:48:01.7|    5875|    3172|2.657 (XTE J1550-564)|
|40401-01-33-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|  1999-02-08 16:48:06|    5953|    3171|2.657 (XTE J1550-564)|
|40401-01-29-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-02-04 18:29:11.3|    5854|    3162|2.657 (XTE J1550-564)|
|40401-01-50-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-03-04 19:06:45.5|    5724|    3150|2.657 (XTE J1550-564)|
|30514-03-13-00|30514|observed|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-10-04 03:19:25.5|    6077|    3130|2.657 (XTE J1550-564)|
|40401-01-45-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-02-24 19:54:58.2|    5789|    3124|2.657 (XTE J1550-564)|
|60428-01-14-00|60428|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 59.0|-56 28 34|2002-02-06 17:59:05.6|    5767|    3109|0.059 (XTE J1550-564)|
|30435-01-24-00|30435|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-12-27 17:06:36.3|    4250|    3105|2.657 (XTE J1550-564)|
|40401-01-28-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-02-03 18:31:11.4|    5916|    3099|2.657 (XTE J1550-564)|
|30514-03-12-00|30514|observed|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-10-02 23:37:25.2|    7877|    3067|2.657 (XTE J1550-564)|
